Model,Method,Mode,Train,Test,Closed_Rank1,Closed_EER,Closed_Mean_Genuine,Closed_Mean_Impostor,Open_Rank1,Open_KL_Gate_EER,Open_Uncertainty_EER,Open_EER,Open_Mean_Genuine,Open_Mean_Stranger,Open_AUROC,Open_DIR_1,Open_DIR_01,Open_OSCR
unet_resnet,Baseline,mode0,iitd,iitd,84.4967 ± 3.8919,4.9433 ± 1.0423,51.3333 ± 0.4714,51.3333 ± 0.4714,79.5100 ± 5.2629,16.7300 ± 1.6385,48.2267 ± 5.5287,23.9567 ± 3.6589,51.3333 ± 0.4714,51.3333 ± 0.4714,80.9500 ± 4.0528,19.6767 ± 15.4702,5.5367 ± 2.8229,72.5300 ± 5.6944
unet_resnet,Baseline,mode0,iitd,tongji,25.7333 ± 2.2231,25.7800 ± 2.4712,3.0000 ± 0.8165,3.0000 ± 0.8165,25.2667 ± 2.5104,34.6333 ± 1.7225,53.5167 ± 0.4089,66.4000 ± 3.0323,3.0000 ± 0.8165,3.0000 ± 0.8165,27.7133 ± 4.2023,0.8000 ± 0.5888,0.0667 ± 0.0943,14.6367 ± 2.0699
unet_resnet,Baseline,mode0,tongji,iitd,67.7767 ± 3.1443,10.9733 ± 0.3158,37.3333 ± 0.4714,37.3333 ± 0.4714,65.2767 ± 4.3181,24.9933 ± 1.8149,50.7133 ± 3.6392,38.5967 ± 0.1933,37.3333 ± 0.4714,37.3333 ± 0.4714,64.8233 ± 0.1179,17.2233 ± 3.9268,14.4433 ± 4.3228,54.0700 ± 2.4890
unet_resnet,Baseline,mode0,tongji,tongji,66.6000 ± 4.2552,9.1867 ± 1.5535,47.0000 ± 0.8165,47.0000 ± 0.8165,65.6000 ± 4.8332,21.2267 ± 1.4127,49.3333 ± 2.7825,38.1167 ± 2.6459,47.0000 ± 0.8165,47.0000 ± 0.8165,64.1900 ± 3.7182,12.2000 ± 2.4055,3.8000 ± 0.9092,54.4367 ± 5.2041
unet_resnet,Baseline,mode3,iitd,iitd,84.4967 ± 3.8919,4.9433 ± 1.0423,55.0000 ± 0.8165,55.0000 ± 0.8165,79.5100 ± 5.2629,16.7300 ± 1.6385,48.2267 ± 5.5287,23.9567 ± 3.6589,55.0000 ± 0.8165,55.0000 ± 0.8165,80.9500 ± 4.0528,19.6767 ± 15.4702,5.5367 ± 2.8229,72.5300 ± 5.6944
unet_resnet,Baseline,mode3,iitd,tongji,25.7333 ± 2.2231,25.7800 ± 2.4712,58.0000 ± 0.8165,58.0000 ± 0.8165,25.2667 ± 2.5104,34.6333 ± 1.7225,53.5167 ± 0.4089,66.4000 ± 3.0323,58.0000 ± 0.8165,58.0000 ± 0.8165,27.7133 ± 4.2023,0.8000 ± 0.5888,0.0667 ± 0.0943,14.6367 ± 2.0699
unet_resnet,Baseline,mode3,tongji,iitd,64.0033 ± 4.6458,12.6633 ± 2.2488,39.6667 ± 0.9428,39.6667 ± 0.9428,61.7833 ± 4.6605,25.1433 ± 1.7187,50.3167 ± 3.9497,41.0933 ± 3.4383,40.0000 ± 0.8165,40.0000 ± 0.8165,62.6200 ± 3.1765,15.5167 ± 3.4304,13.2933 ± 3.7817,51.1667 ± 3.5825
unet_resnet,Baseline,mode3,tongji,tongji,66.6000 ± 4.2552,9.1867 ± 1.5535,43.0000 ± 0.8165,43.0000 ± 0.8165,65.6000 ± 4.8332,21.2267 ± 1.4127,49.3333 ± 2.7825,38.1167 ± 2.6459,43.0000 ± 0.8165,43.0000 ± 0.8165,64.1900 ± 3.7182,12.2000 ± 2.4055,3.8000 ± 0.9092,54.4367 ± 5.2041
unet_resnet,Proposed,mode0,iitd,iitd,97.5133 ± 2.4333,1.0200 ± 0.5305,31.6667 ± 1.2472,31.6667 ± 1.2472,97.7900 ± 2.0606,1.0367 ± 0.4789,42.8067 ± 2.7517,2.6933 ± 0.6033,31.6667 ± 1.2472,31.6667 ± 1.2472,99.3267 ± 0.3272,95.2933 ± 1.0255,93.6267 ± 2.7541,97.6100 ± 2.0638
unet_resnet,Proposed,mode0,iitd,tongji,71.4667 ± 1.2257,11.2700 ± 1.4551,42.0000 ± 0.8165,42.0000 ± 0.8165,71.2000 ± 0.9933,14.9833 ± 1.4335,50.0000 ± 1.9778,36.6667 ± 2.8706,42.0000 ± 0.8165,42.0000 ± 0.8165,68.7400 ± 4.1489,14.2667 ± 4.4582,6.2000 ± 3.3025,57.9900 ± 3.0510
unet_resnet,Proposed,mode0,tongji,iitd,81.7233 ± 1.7190,10.6567 ± 0.9188,38.6667 ± 27.3537,38.6667 ± 27.3537,81.1700 ± 1.8809,14.3300 ± 0.9874,48.4400 ± 5.7073,24.6267 ± 2.5198,38.6667 ± 27.3537,38.6667 ± 27.3537,79.3833 ± 3.0459,41.5567 ± 3.8175,37.6867 ± 5.3761,74.3033 ± 2.2263
