Model,Method,Mode,Train,Test,Closed_Rank1,Closed_EER,Closed_Mean_Genuine,Closed_Mean_Impostor,Open_Rank1,Open_KL_Gate_EER,Open_Uncertainty_EER,Open_EER,Open_Mean_Genuine,Open_Mean_Stranger,Open_AUROC,Open_DIR_1,Open_DIR_01,Open_OSCR
unet_ccnet,Baseline,mode0,iitd,iitd,88.0900 ± 1.4029,17.7067 ± 3.2188,25.6667 ± 0.9428,25.6667 ± 0.9428,81.1700 ± 1.3376,27.8433 ± 3.6848,48.1833 ± 1.0246,34.2767 ± 5.1806,25.6667 ± 0.9428,25.6667 ± 0.9428,70.2200 ± 5.2708,26.8867 ± 5.0013,22.7467 ± 7.3870,66.2933 ± 4.8120
unet_ccnet,Baseline,mode0,iitd,tongji,53.1333 ± 1.3098,20.9267 ± 1.6007,29.0000 ± 0.8165,29.0000 ± 0.8165,53.0000 ± 1.4236,30.6467 ± 0.2625,48.6667 ± 1.8571,49.1500 ± 4.6397,29.0000 ± 0.8165,29.0000 ± 0.8165,52.6167 ± 6.3002,10.3333 ± 2.1746,4.4000 ± 1.2961,38.3000 ± 4.6373
unet_ccnet,Baseline,mode0,tongji,iitd,71.7567 ± 4.3606,13.6100 ± 2.3406,42.3333 ± 0.4714,42.3333 ± 0.4714,71.2033 ± 3.3070,22.6533 ± 2.7596,51.2367 ± 4.3765,38.7200 ± 3.4102,42.3333 ± 0.4714,42.3333 ± 0.4714,64.2833 ± 7.0246,20.7933 ± 4.9583,17.7367 ± 2.7995,56.5800 ± 4.9293
unet_ccnet,Baseline,mode0,tongji,tongji,61.7333 ± 1.3597,10.4133 ± 0.8391,45.0000 ± 0.8165,45.0000 ± 0.8165,61.5333 ± 2.0287,17.7467 ± 1.3996,50.9833 ± 1.4924,41.5333 ± 1.5353,45.0000 ± 0.8165,45.0000 ± 0.8165,60.9200 ± 1.4681,7.6000 ± 4.5373,2.7333 ± 2.1061,47.3233 ± 2.3898
unet_ccnet,Baseline,mode3,iitd,iitd,88.0900 ± 1.4029,17.7067 ± 3.2188,31.0000 ± 0.8165,31.0000 ± 0.8165,81.1700 ± 1.3376,27.8433 ± 3.6848,48.1833 ± 1.0246,34.2767 ± 5.1806,31.0000 ± 0.8165,31.0000 ± 0.8165,70.2200 ± 5.2708,26.8867 ± 5.0013,22.7467 ± 7.3870,66.2933 ± 4.8120
unet_ccnet,Baseline,mode3,iitd,tongji,53.1333 ± 1.3098,20.9267 ± 1.6007,33.3333 ± 1.2472,33.3333 ± 1.2472,53.0000 ± 1.4236,30.6467 ± 0.2625,48.6667 ± 1.8571,49.1500 ± 4.6397,33.3333 ± 1.2472,33.3333 ± 1.2472,52.6167 ± 6.3002,10.3333 ± 2.1746,4.4000 ± 1.2961,38.3000 ± 4.6373
unet_ccnet,Baseline,mode3,tongji,iitd,71.7567 ± 4.3606,13.6100 ± 2.3406,47.0000 ± 0.8165,47.0000 ± 0.8165,71.2033 ± 3.3070,22.6533 ± 2.7596,51.2367 ± 4.3765,38.7200 ± 3.4102,47.0000 ± 0.8165,47.0000 ± 0.8165,64.2833 ± 7.0246,20.7933 ± 4.9583,17.7367 ± 2.7995,56.5800 ± 4.9293
unet_ccnet,Baseline,mode3,tongji,tongji,61.7333 ± 1.3597,10.4133 ± 0.8391,49.0000 ± 0.8165,49.0000 ± 0.8165,61.5333 ± 2.0287,17.7467 ± 1.3996,50.9833 ± 1.4924,41.5333 ± 1.5353,49.0000 ± 0.8165,49.0000 ± 0.8165,60.9200 ± 1.4681,7.6000 ± 4.5373,2.7333 ± 2.1061,47.3233 ± 2.3898
unet_ccnet,Baseline,mode0,iitd,iitd,88.0900 ± 1.4029,17.7067 ± 3.2188,25.6667 ± 0.9428,25.6667 ± 0.9428,81.1700 ± 1.3376,27.8433 ± 3.6848,48.1833 ± 1.0246,34.2767 ± 5.1806,25.6667 ± 0.9428,25.6667 ± 0.9428,70.2200 ± 5.2708,26.8867 ± 5.0013,22.7467 ± 7.3870,66.2933 ± 4.8120
unet_ccnet,Baseline,mode0,iitd,tongji,53.1333 ± 1.3098,20.9267 ± 1.6007,29.0000 ± 0.8165,29.0000 ± 0.8165,53.0000 ± 1.4236,30.6467 ± 0.2625,48.6667 ± 1.8571,49.1500 ± 4.6397,29.0000 ± 0.8165,29.0000 ± 0.8165,52.6167 ± 6.3002,10.3333 ± 2.1746,4.4000 ± 1.2961,38.3000 ± 4.6373
